Iteration;InternalAgent;OuterAgent;IGGIAgent;FlawedAgent;PiersAgent;VanDenBerghAgent;Mirror
3425;3.64;7.92;4.03;0.14;7.8;8.11;16.32
3450;3.92;8.7;3.98;0.0;8.29;8.4;16.69
3475;4.38;7.54;4.37;0.0;8.48;8.15;17.09
3500;3.78;7.94;4.41;0.02;8.7;9.0;16.86
3525;3.78;7.31;4.07;0.08;8.52;7.87;17.15
3550;3.75;7.98;4.51;0.0;8.62;7.9;15.69
3575;4.27;7.79;4.33;0.0;8.53;9.01;16.6
3600;4.05;7.8;4.4;0.1;8.15;8.07;16.92
3625;4.49;7.65;4.35;0.0;9.74;9.11;16.97
3650;4.38;7.61;4.05;0.08;7.94;8.92;16.98
3675;3.74;7.75;4.52;0.0;8.37;8.86;16.83
3700;4.11;7.15;4.28;0.15;8.03;8.77;16.22
3725;4.2;6.8;4.15;0.0;8.69;8.37;16.56
3750;3.87;7.7;4.06;0.14;8.33;9.17;17.31
3775;4.04;7.45;3.61;0.05;8.35;8.43;16.49
3800;4.2;8.15;4.64;0.0;8.93;8.84;16.08
3825;4.07;7.6;4.17;0.16;8.25;8.5;17.01
3850;4.13;8.05;3.99;0.0;8.9;8.91;17.23
3875;4.02;8.11;3.87;0.02;8.28;8.46;17.3
3900;3.82;7.1;4.03;0.0;7.85;7.29;16.87
3925;4.18;6.86;3.59;0.05;7.69;7.12;16.77
3950;3.58;7.48;3.89;0.0;7.92;7.32;17.26
3975;3.87;7.71;4.34;0.0;8.28;8.63;17.09
4000;3.8;6.69;4.1;0.0;8.51;7.96;17.02
4025;3.67;7.89;4.79;0.07;8.44;8.98;17.43
4050;3.38;8.22;4.37;0.07;9.24;8.03;17.43
4075;4.23;7.46;4.21;0.15;8.21;8.97;17.6
4100;3.54;7.72;3.88;0.06;8.19;9.57;17.41
4125;3.73;7.74;4.23;0.05;8.82;9.02;17.6
4150;3.75;7.52;3.8;0.0;7.71;8.82;17.2
4175;3.4;7.98;3.62;0.0;8.44;8.32;17.4
4200;4.38;8.06;4.05;0.0;8.58;8.41;18.11
4225;4.08;8.06;4.23;0.17;9.13;8.97;17.34
4250;3.85;7.51;4.31;0.06;8.63;7.5;17.36
4275;3.63;8.05;3.94;0.0;9.13;9.24;17.93
4300;4.01;6.87;3.82;0.08;8.8;8.68;18.05
4325;3.63;7.96;3.77;0.0;8.91;8.24;17.53
4350;3.83;7.45;3.83;0.16;8.48;8.47;18.04
4375;3.84;6.66;4.28;0.0;7.48;8.09;16.77
4400;4.01;7.41;4.12;0.0;8.81;8.46;16.94
4425;3.05;7.33;4.11;0.0;9.16;8.7;18.24
4450;3.77;7.63;3.96;0.04;9.57;7.64;17.46
4475;4.19;7.63;4.67;0.0;8.97;8.64;17.94
4500;3.95;8.05;4.5;0.05;8.37;8.88;18.22
4525;3.64;7.36;4.16;0.02;7.12;7.98;17.16
4550;3.67;6.9;4.22;0.05;7.89;8.57;17.32
4575;4.3;7.58;4.36;0.0;9.38;7.81;17.38
4600;3.95;7.13;3.8;0.08;8.3;9.09;18.27
4625;3.87;7.54;4.11;0.0;9.01;8.82;17.86
4650;3.31;6.65;4.32;0.09;7.91;8.41;17.68
4675;3.8;7.1;4.25;0.02;8.24;8.6;17.96
4700;3.26;7.1;3.85;0.0;8.66;7.94;17.31
4725;3.15;6.12;4.38;0.0;7.99;8.52;17.52
4750;3.42;7.38;4.49;0.0;8.44;8.1;17.72
4775;3.98;7.03;4.18;0.0;8.27;8.3;17.46
4800;3.54;7.51;4.26;0.0;8.25;8.62;17.55
4825;3.52;7.95;4.08;0.06;7.83;8.76;17.96
4850;3.81;7.44;4.52;0.04;8.64;9.83;18.4
4875;3.72;6.99;4.32;0.0;8.55;9.16;17.65
4900;4.31;7.8;4.08;0.0;7.97;10.0;18.16
4925;3.61;7.22;3.78;0.03;9.13;8.75;18.54
4950;4.06;7.62;4.01;0.0;9.38;9.37;17.97
4975;4.18;7.35;4.15;0.0;8.52;9.17;17.79
5000;3.67;7.88;4.21;0.12;8.59;7.11;17.71
5025;4.37;7.43;4.8;0.0;8.25;9.61;18.1
5050;3.53;7.36;4.2;0.04;8.89;8.82;18.03
5075;3.98;7.59;3.56;0.18;8.73;7.99;17.71
